1;1;Top of a silver skyscraper;Evening;A young woman dressed in a modest spring outfit
2;2;Sky above the city;Dusk;A young woman dressed in a modest spring outfit and spectators on the balconies of high-rise buildings
3;3;Balcony of a high-end luxury apartment;Evening;A wealthy young man reaching out to a falling young woman
4;4;Terrace of a luxury high-rise apartment;Evening;A young woman falling past various spectators on a terrace
5;6;Outside of a high-rise building;Evening;Several partygoers calling out from various high-rise balconies to a young woman falling down the side of the building
7;7;Within a high-rise office building;Twilight;A young woman passing by lighted windows and the office workers inside
8;9;Outside an office building at night;Night;Numerous office workers watching a falling young woman from inside
10;10;Above a large entryway of a building hosting a party;Night;A young woman in a cocktail dress, falling faster than others
11;11;Along the side of a skyscraper;Night;A crowd of young women, each adorned in fashionable outfits, freefalling alongside a humble, barely dressed young woman
12;13;In the darkened sky along the side of a skyscraper;Night;A young woman falling alone, with no spectators along the lighted windows
14;14;Above a darkened cityscape;Night;A falling young woman peering up at the towering skyscraper above
15;15;Inside a morning office;Morning;A middle-aged couple looking out of a window
16;18;Above the road;Morning;An old woman scared to death, about to crash on the floor from very high
